,Region Name,Country,Class,Category,Type,Constant 2018 USD,Data Type
544,Europe,France,B1,Capacity-enhancing,Boat constsruct. & renov.,3207366.134081566,Reported
545,Europe,France,B2,Capacity-enhancing,Fisheries dev. projects,5654749.572702022,Reported
546,Europe,France,B3,Capacity-enhancing,Fishing port develop.,40837845.25809741,Reported
547,Europe,France,B4,Capacity-enhancing,Markt. & storage infrast.,8269915.729911845,Reported
548,Europe,France,B5,Capacity-enhancing,Tax exemption,3382038.4499999997,Reported
549,Europe,France,B6,Capacity-enhancing,Fishing access,14783246.57,Modeled
1873,Europe,France,B7,Capacity-enhancing,Fuel subsidies,87393045.88291474,Modeled
550,Europe,France,C1,Ambiguous,Fisher assistance,37455212.07071395,Reported
551,Europe,France,C2,Ambiguous,Vessel buyback,984896.6069744548,Reported
552,Europe,France,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
577,Europe,Georgia,A1,Beneficial,Fisheries mangt.,9901778.99394102,Modeled
578,Europe,Georgia,A2,Beneficial,Fishery R&D,2320016.160789447,Modeled
579,Europe,Georgia,A3,Beneficial,MPAs,492877.8627474623,Modeled
580,Europe,Georgia,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
581,Europe,Georgia,B2,Capacity-enhancing,Fisheries dev. projects,1354512.4573079112,Modeled
582,Europe,Georgia,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
583,Europe,Georgia,B4,Capacity-enhancing,Markt. & storage infrast.,1028795.0725349892,Modeled
584,Europe,Georgia,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
585,Europe,Georgia,B6,Capacity-enhancing,Fishing access,55214.75,Modeled
1876,Europe,Georgia,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
586,Europe,Georgia,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
587,Europe,Georgia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
588,Europe,Georgia,C3,Ambiguous,Rural fisher communities,1240861.2903499794,Modeled
601,Europe,Germany,A1,Beneficial,Fisheries mangt.,75911271.71192725,Reported
602,Europe,Germany,A2,Beneficial,Fishery R&D,55600.3752516497,Reported
603,Europe,Germany,A3,Beneficial,MPAs,46176231.357924245,Modeled
604,Europe,Germany,B1,Capacity-enhancing,Boat constsruct. & renov.,69654.46398678969,Reported
605,Europe,Germany,B2,Capacity-enhancing,Fisheries dev. projects,12716980.491482776,Reported
606,Europe,Germany,B3,Capacity-enhancing,Fishing port develop.,15390944.592844917,Reported
607,Europe,Germany,B4,Capacity-enhancing,Markt. & storage infrast.,1913311.3764735167,Reported
608,Europe,Germany,B5,Capacity-enhancing,Tax exemption,17155068.54330832,Modeled
609,Europe,Germany,B6,Capacity-enhancing,Fishing access,5787534.17,Modeled
1878,Europe,Germany,B7,Capacity-enhancing,Fuel subsidies,17713136.884294596,Modeled
610,Europe,Germany,C1,Ambiguous,Fisher assistance,164824.83304510853,Reported
611,Europe,Germany,C2,Ambiguous,Vessel buyback,1914929.6440537868,Reported
612,Europe,Germany,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
638,Europe,Greece,A1,Beneficial,Fisheries mangt.,5672223.552513525,Reported
639,Europe,Greece,A2,Beneficial,Fishery R&D,18576451.48539606,Modeled
640,Europe,Greece,A3,Beneficial,MPAs,40727603.197183326,Modeled
641,Europe,Greece,B1,Capacity-enhancing,Boat constsruct. & renov.,10978433.275429405,Modeled
642,Europe,Greece,B2,Capacity-enhancing,Fisheries dev. projects,555270.129907899,Reported
643,Europe,Greece,B3,Capacity-enhancing,Fishing port develop.,3334540.538335125,Reported
644,Europe,Greece,B4,Capacity-enhancing,Markt. & storage infrast.,225469.22999999998,Reported
645,Europe,Greece,B5,Capacity-enhancing,Tax exemption,38226129.64879865,Modeled
646,Europe,Greece,B6,Capacity-enhancing,Fishing access,3851613.15,Modeled
1881,Europe,Greece,B7,Capacity-enhancing,Fuel subsidies,87456111.42264622,Reported
647,Europe,Greece,C1,Ambiguous,Fisher assistance,7345529.4888043385,Modeled
648,Europe,Greece,C2,Ambiguous,Vessel buyback,2428444.52536875,Reported
649,Europe,Greece,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
734,Europe,Iceland,A1,Beneficial,Fisheries mangt.,35767416.31368731,Reported
735,Europe,Iceland,A2,Beneficial,Fishery R&D,20569572.255037118,Reported
736,Europe,Iceland,A3,Beneficial,MPAs,1531853.9601868927,Modeled
737,Europe,Iceland,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
738,Europe,Iceland,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
739,Europe,Iceland,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
740,Europe,Iceland,B4,Capacity-enhancing,Markt. & storage infrast.,8645022.577464214,Reported
741,Europe,Iceland,B5,Capacity-enhancing,Tax exemption,68865010.39292192,Modeled
742,Europe,Iceland,B6,Capacity-enhancing,Fishing access,13355709.04,Modeled
1889,Europe,Iceland,B7,Capacity-enhancing,Fuel subsidies,0.0,Reported
743,Europe,Iceland,C1,Ambiguous,Fisher assistance,13233093.939551445,Modeled
744,Europe,Iceland,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
745,Europe,Iceland,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
794,Europe,Ireland,A1,Beneficial,Fisheries mangt.,58460651.98722001,Reported
795,Europe,Ireland,A2,Beneficial,Fishery R&D,674664.1541264625,Reported
796,Europe,Ireland,A3,Beneficial,MPAs,44553479.64714952,Modeled
797,Europe,Ireland,B1,Capacity-enhancing,Boat constsruct. & renov.,5806200.895906512,Modeled
798,Europe,Ireland,B2,Capacity-enhancing,Fisheries dev. projects,588949.9605171547,Reported
799,Europe,Ireland,B3,Capacity-enhancing,Fishing port develop.,24496678.001840036,Reported
800,Europe,Ireland,B4,Capacity-enhancing,Markt. & storage infrast.,15566418.49471419,Reported
801,Europe,Ireland,B5,Capacity-enhancing,Tax exemption,353844.8360803125,Reported
802,Europe,Ireland,B6,Capacity-enhancing,Fishing access,2518249.25,Modeled
1894,Europe,Ireland,B7,Capacity-enhancing,Fuel subsidies,18986601.27044777,Modeled
803,Europe,Ireland,C1,Ambiguous,Fisher assistance,479754.6235855571,Reported
804,Europe,Ireland,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
805,Europe,Ireland,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
818,Europe,Italy,A1,Beneficial,Fisheries mangt.,5087203.792103185,Reported
819,Europe,Italy,A2,Beneficial,Fishery R&D,5617141.482276901,Reported
820,Europe,Italy,A3,Beneficial,MPAs,58137958.80417519,Modeled
821,Europe,Italy,B1,Capacity-enhancing,Boat constsruct. & renov.,18805905.751983788,Modeled
822,Europe,Italy,B2,Capacity-enhancing,Fisheries dev. projects,1490253.0453140526,Reported
823,Europe,Italy,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
824,Europe,Italy,B4,Capacity-enhancing,Markt. & storage infrast.,20267742.897471406,Reported
825,Europe,Italy,B5,Capacity-enhancing,Tax exemption,21977613.19425,Reported
826,Europe,Italy,B6,Capacity-enhancing,Fishing access,26327033.95,Modeled
1896,Europe,Italy,B7,Capacity-enhancing,Fuel subsidies,103927228.1328127,Modeled
827,Europe,Italy,C1,Ambiguous,Fisher assistance,12582791.350933352,Modeled
828,Europe,Italy,C2,Ambiguous,Vessel buyback,80816037.32671867,Reported
829,Europe,Italy,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
938,Europe,Latvia,A1,Beneficial,Fisheries mangt.,1501625.0718,Reported
939,Europe,Latvia,A2,Beneficial,Fishery R&D,754535.8657296583,Modeled
940,Europe,Latvia,A3,Beneficial,MPAs,8320886.736748384,Modeled
941,Europe,Latvia,B1,Capacity-enhancing,Boat constsruct. & renov.,1149326.8011203366,Modeled
942,Europe,Latvia,B2,Capacity-enhancing,Fisheries dev. projects,1314872.5499190644,Reported
943,Europe,Latvia,B3,Capacity-enhancing,Fishing port develop.,1305355.23443115,Reported
944,Europe,Latvia,B4,Capacity-enhancing,Markt. & storage infrast.,2931099.9899999998,Reported
945,Europe,Latvia,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
946,Europe,Latvia,B6,Capacity-enhancing,Fishing access,13676453.32,Modeled
1906,Europe,Latvia,B7,Capacity-enhancing,Fuel subsidies,9259273.109945687,Modeled
947,Europe,Latvia,C1,Ambiguous,Fisher assistance,768999.8835077293,Modeled
948,Europe,Latvia,C2,Ambiguous,Vessel buyback,137647.83756885,Reported
949,Europe,Latvia,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
974,Europe,Lithuania,A1,Beneficial,Fisheries mangt.,304383.4605,Reported
975,Europe,Lithuania,A2,Beneficial,Fishery R&D,294866.61463889125,Modeled
976,Europe,Lithuania,A3,Beneficial,MPAs,7590381.571248852,Modeled
977,Europe,Lithuania,B1,Capacity-enhancing,Boat constsruct. & renov.,1748424.105913226,Modeled
978,Europe,Lithuania,B2,Capacity-enhancing,Fisheries dev. projects,518293.379110206,Reported
979,Europe,Lithuania,B3,Capacity-enhancing,Fishing port develop.,563704.6406921999,Reported
980,Europe,Lithuania,B4,Capacity-enhancing,Markt. & storage infrast.,555556.1827199999,Reported
981,Europe,Lithuania,B5,Capacity-enhancing,Tax exemption,6087889.307785557,Modeled
982,Europe,Lithuania,B6,Capacity-enhancing,Fishing access,7697219.27,Modeled
1909,Europe,Lithuania,B7,Capacity-enhancing,Fuel subsidies,368084.7317669713,Reported
983,Europe,Lithuania,C1,Ambiguous,Fisher assistance,1169848.2385155838,Modeled
984,Europe,Lithuania,C2,Ambiguous,Vessel buyback,644.8419978,Reported
985,Europe,Lithuania,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1022,Europe,Malta,A1,Beneficial,Fisheries mangt.,1116167.3294439656,Modeled
1023,Europe,Malta,A2,Beneficial,Fishery R&D,261521.31289132498,Modeled
1024,Europe,Malta,A3,Beneficial,MPAs,8878676.274153367,Modeled
1025,Europe,Malta,B1,Capacity-enhancing,Boat constsruct. & renov.,2025845.1096042627,Modeled
1026,Europe,Malta,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
1027,Europe,Malta,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1028,Europe,Malta,B4,Capacity-enhancing,Markt. & storage infrast.,4551156.1769261435,Modeled
1029,Europe,Malta,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1030,Europe,Malta,B6,Capacity-enhancing,Fishing access,4145226.03,Modeled
1913,Europe,Malta,B7,Capacity-enhancing,Fuel subsidies,3588460.6895400365,Modeled
1031,Europe,Malta,C1,Ambiguous,Fisher assistance,1355467.0888835115,Modeled
1032,Europe,Malta,C2,Ambiguous,Vessel buyback,1476223.264371162,Modeled
1033,Europe,Malta,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1071,Europe,Monaco,A1,Beneficial,Fisheries mangt.,0.0,not found evidence of subsidy
1072,Europe,Monaco,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
1073,Europe,Monaco,A3,Beneficial,MPAs,0.0,not found evidence of subsidy
1074,Europe,Monaco,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
1075,Europe,Monaco,B2,Capacity-enhancing,Fisheries dev. projects,0.0,not found evidence of subsidy
1076,Europe,Monaco,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1077,Europe,Monaco,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
1078,Europe,Monaco,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1079,Europe,Monaco,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1917,Europe,Monaco,B7,Capacity-enhancing,Fuel subsidies,0.0,not found evidence of subsidy
1080,Europe,Monaco,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1081,Europe,Monaco,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1082,Europe,Monaco,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1816,Europe,Montenegro,A1,Beneficial,Fisheries mangt.,280103.8153928327,Modeled
1817,Europe,Montenegro,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
1818,Europe,Montenegro,A3,Beneficial,MPAs,34342.311300111185,Modeled
1819,Europe,Montenegro,B1,Capacity-enhancing,Boat constsruct. & renov.,0.0,not found evidence of subsidy
1820,Europe,Montenegro,B2,Capacity-enhancing,Fisheries dev. projects,95855.7707550028,Modeled
1821,Europe,Montenegro,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1822,Europe,Montenegro,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
1823,Europe,Montenegro,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1824,Europe,Montenegro,B6,Capacity-enhancing,Fishing access,0.0,not found evidence of subsidy
1979,Europe,Montenegro,B7,Capacity-enhancing,Fuel subsidies,0.0,Reported
1825,Europe,Montenegro,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1826,Europe,Montenegro,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1827,Europe,Montenegro,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1143,Europe,Netherlands,A1,Beneficial,Fisheries mangt.,18786099.322974965,Reported
1144,Europe,Netherlands,A2,Beneficial,Fishery R&D,1127059.849171746,Reported
1145,Europe,Netherlands,A3,Beneficial,MPAs,22549581.47642294,Modeled
1146,Europe,Netherlands,B1,Capacity-enhancing,Boat constsruct. & renov.,10239799.649793481,Modeled
1147,Europe,Netherlands,B2,Capacity-enhancing,Fisheries dev. projects,935123.7107788799,Reported
1148,Europe,Netherlands,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1149,Europe,Netherlands,B4,Capacity-enhancing,Markt. & storage infrast.,2180051.7147465735,Reported
1150,Europe,Netherlands,B5,Capacity-enhancing,Tax exemption,35654259.50775463,Modeled
1151,Europe,Netherlands,B6,Capacity-enhancing,Fishing access,9927304.9,Modeled
1923,Europe,Netherlands,B7,Capacity-enhancing,Fuel subsidies,82563795.08540626,Reported
1152,Europe,Netherlands,C1,Ambiguous,Fisher assistance,6851319.163668585,Modeled
1153,Europe,Netherlands,C2,Ambiguous,Vessel buyback,7461691.120343195,Modeled
1154,Europe,Netherlands,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1203,Europe,Norway,A1,Beneficial,Fisheries mangt.,117729335.32309252,Reported
1204,Europe,Norway,A2,Beneficial,Fishery R&D,83106764.42904364,Reported
1205,Europe,Norway,A3,Beneficial,MPAs,76910276.92204411,Modeled
1206,Europe,Norway,B1,Capacity-enhancing,Boat constsruct. & renov.,55851241.764292955,Modeled
1207,Europe,Norway,B2,Capacity-enhancing,Fisheries dev. projects,165197116.71430385,Modeled
1208,Europe,Norway,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1209,Europe,Norway,B4,Capacity-enhancing,Markt. & storage infrast.,4202313.632502254,Reported
1210,Europe,Norway,B5,Capacity-enhancing,Tax exemption,194470081.03665447,Modeled
1211,Europe,Norway,B6,Capacity-enhancing,Fishing access,49260505.61,Modeled
1928,Europe,Norway,B7,Capacity-enhancing,Fuel subsidies,58254825.88198614,Reported
1212,Europe,Norway,C1,Ambiguous,Fisher assistance,170877.210960182,Reported
1213,Europe,Norway,C2,Ambiguous,Vessel buyback,40698522.33301955,Modeled
1214,Europe,Norway,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1311,Europe,Poland,A1,Beneficial,Fisheries mangt.,992064.612,Reported
1312,Europe,Poland,A2,Beneficial,Fishery R&D,2108920.1113161556,Modeled
1313,Europe,Poland,A3,Beneficial,MPAs,12310429.775311269,Modeled
1314,Europe,Poland,B1,Capacity-enhancing,Boat constsruct. & renov.,5180732.12005713,Modeled
1315,Europe,Poland,B2,Capacity-enhancing,Fisheries dev. projects,5474992.562364108,Reported
1316,Europe,Poland,B3,Capacity-enhancing,Fishing port develop.,904061.7168387,Reported
1317,Europe,Poland,B4,Capacity-enhancing,Markt. & storage infrast.,4661049.848324489,Reported
1318,Europe,Poland,B5,Capacity-enhancing,Tax exemption,18038943.511204552,Modeled
1319,Europe,Poland,B6,Capacity-enhancing,Fishing access,12753918.68,Modeled
1937,Europe,Poland,B7,Capacity-enhancing,Fuel subsidies,9907748.060552364,Modeled
1320,Europe,Poland,C1,Ambiguous,Fisher assistance,3466361.6935802707,Modeled
1321,Europe,Poland,C2,Ambiguous,Vessel buyback,336019.04816129996,Reported
1322,Europe,Poland,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1323,Europe,Portugal,A1,Beneficial,Fisheries mangt.,3503115.774437719,Reported
1324,Europe,Portugal,A2,Beneficial,Fishery R&D,11132888.971745303,Modeled
1325,Europe,Portugal,A3,Beneficial,MPAs,28305028.092198614,Modeled
1326,Europe,Portugal,B1,Capacity-enhancing,Boat constsruct. & renov.,240467.44317960003,Reported
1327,Europe,Portugal,B2,Capacity-enhancing,Fisheries dev. projects,2105986.211311185,Reported
1328,Europe,Portugal,B3,Capacity-enhancing,Fishing port develop.,1071028.4457306,Reported
1329,Europe,Portugal,B4,Capacity-enhancing,Markt. & storage infrast.,2771668.4427747,Reported
1330,Europe,Portugal,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1331,Europe,Portugal,B6,Capacity-enhancing,Fishing access,3488440.12,Modeled
1938,Europe,Portugal,B7,Capacity-enhancing,Fuel subsidies,86191614.7770233,Modeled
1332,Europe,Portugal,C1,Ambiguous,Fisher assistance,1437098.0328662999,Reported
1333,Europe,Portugal,C2,Ambiguous,Vessel buyback,480934.88635920006,Reported
1334,Europe,Portugal,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1371,Europe,Romania,A1,Beneficial,Fisheries mangt.,596042.3219042965,Modeled
1372,Europe,Romania,A2,Beneficial,Fishery R&D,139654.48230854247,Modeled
1373,Europe,Romania,A3,Beneficial,MPAs,3903249.2125585806,Modeled
1374,Europe,Romania,B1,Capacity-enhancing,Boat constsruct. & renov.,45347.56573726037,Modeled
1375,Europe,Romania,B2,Capacity-enhancing,Fisheries dev. projects,134129.28474219044,Modeled
1376,Europe,Romania,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1377,Europe,Romania,B4,Capacity-enhancing,Markt. & storage infrast.,101875.43605148213,Modeled
1378,Europe,Romania,B5,Capacity-enhancing,Tax exemption,157897.0226115559,Modeled
1379,Europe,Romania,B6,Capacity-enhancing,Fishing access,4792700.09,Modeled
1942,Europe,Romania,B7,Capacity-enhancing,Fuel subsidies,737947.2847690281,Modeled
1380,Europe,Romania,C1,Ambiguous,Fisher assistance,30341.47705884841,Modeled
1381,Europe,Romania,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1382,Europe,Romania,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1383,Europe,Russian Federation,A1,Beneficial,Fisheries mangt.,135078647.14131778,Reported
1384,Europe,Russian Federation,A2,Beneficial,Fishery R&D,125468311.96424071,Modeled
1385,Europe,Russian Federation,A3,Beneficial,MPAs,34949718.48912791,Modeled
1386,Europe,Russian Federation,B1,Capacity-enhancing,Boat constsruct. & renov.,10062774.318221668,Reported
1387,Europe,Russian Federation,B2,Capacity-enhancing,Fisheries dev. projects,58669753.9631259,Reported
1388,Europe,Russian Federation,B3,Capacity-enhancing,Fishing port develop.,1443977.6486648933,Reported
1389,Europe,Russian Federation,B4,Capacity-enhancing,Markt. & storage infrast.,20706266.672644157,Reported
1390,Europe,Russian Federation,B5,Capacity-enhancing,Tax exemption,980113207.6107928,Reported
1391,Europe,Russian Federation,B6,Capacity-enhancing,Fishing access,89174582.28,Modeled
1943,Europe,Russian Federation,B7,Capacity-enhancing,Fuel subsidies,1844332.0305681173,Reported
1392,Europe,Russian Federation,C1,Ambiguous,Fisher assistance,1270701.202163073,Reported
1393,Europe,Russian Federation,C2,Ambiguous,Vessel buyback,52939694.14045283,Modeled
1394,Europe,Russian Federation,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1515,Europe,Slovenia,A1,Beneficial,Fisheries mangt.,681151.3094546016,Reported
1516,Europe,Slovenia,A2,Beneficial,Fishery R&D,591385.5924721741,Reported
1517,Europe,Slovenia,A3,Beneficial,MPAs,2040485.5466758537,Modeled
1518,Europe,Slovenia,B1,Capacity-enhancing,Boat constsruct. & renov.,19023.174224595245,Modeled
1519,Europe,Slovenia,B2,Capacity-enhancing,Fisheries dev. projects,34403.15392930185,Reported
1520,Europe,Slovenia,B3,Capacity-enhancing,Fishing port develop.,51897.2426251125,Reported
1521,Europe,Slovenia,B4,Capacity-enhancing,Markt. & storage infrast.,42736.45426620067,Modeled
1522,Europe,Slovenia,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1523,Europe,Slovenia,B6,Capacity-enhancing,Fishing access,1439347.51,Modeled
1954,Europe,Slovenia,B7,Capacity-enhancing,Fuel subsidies,70948.24859967653,Reported
1524,Europe,Slovenia,C1,Ambiguous,Fisher assistance,12728.162911019874,Modeled
1525,Europe,Slovenia,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1526,Europe,Slovenia,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1551,Europe,Spain,A1,Beneficial,Fisheries mangt.,25413428.3102973,Reported
1552,Europe,Spain,A2,Beneficial,Fishery R&D,36118031.00954685,Modeled
1553,Europe,Spain,A3,Beneficial,MPAs,88665450.1169557,Modeled
1554,Europe,Spain,B1,Capacity-enhancing,Boat constsruct. & renov.,4823053.743061283,Reported
1555,Europe,Spain,B2,Capacity-enhancing,Fisheries dev. projects,16033494.335697174,Reported
1556,Europe,Spain,B3,Capacity-enhancing,Fishing port develop.,7675249.9163529,Reported
1557,Europe,Spain,B4,Capacity-enhancing,Markt. & storage infrast.,16243693.932658501,Reported
1558,Europe,Spain,B5,Capacity-enhancing,Tax exemption,461545847.8201328,Reported
1559,Europe,Spain,B6,Capacity-enhancing,Fishing access,90588507.18,Modeled
1957,Europe,Spain,B7,Capacity-enhancing,Fuel subsidies,85922565.73625784,Reported
1560,Europe,Spain,C1,Ambiguous,Fisher assistance,3622852.5121187656,Reported
1561,Europe,Spain,C2,Ambiguous,Vessel buyback,7000077.797733299,Reported
1562,Europe,Spain,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1587,Europe,Sweden,A1,Beneficial,Fisheries mangt.,26719135.00742515,Reported
1588,Europe,Sweden,A2,Beneficial,Fishery R&D,627378.52794813,Reported
1589,Europe,Sweden,A3,Beneficial,MPAs,150338399.62373996,Modeled
1590,Europe,Sweden,B1,Capacity-enhancing,Boat constsruct. & renov.,2655791.6638090382,Modeled
1591,Europe,Sweden,B2,Capacity-enhancing,Fisheries dev. projects,3344151.5011755005,Reported
1592,Europe,Sweden,B3,Capacity-enhancing,Fishing port develop.,94509.83957868001,Reported
1593,Europe,Sweden,B4,Capacity-enhancing,Markt. & storage infrast.,2481866.932542135,Reported
1594,Europe,Sweden,B5,Capacity-enhancing,Tax exemption,8192641.100000001,Reported
1595,Europe,Sweden,B6,Capacity-enhancing,Fishing access,186009.68,Modeled
1960,Europe,Sweden,B7,Capacity-enhancing,Fuel subsidies,27026405.607204396,Reported
1596,Europe,Sweden,C1,Ambiguous,Fisher assistance,3161527.4470199835,Reported
1597,Europe,Sweden,C2,Ambiguous,Vessel buyback,1935262.1880375412,Modeled
1598,Europe,Sweden,C3,Ambiguous,Rural fisher communities,0.0,not found evidence of subsidy
1707,Europe,Ukraine,A1,Beneficial,Fisheries mangt.,4157123.4637214476,Modeled
1708,Europe,Ukraine,A2,Beneficial,Fishery R&D,0.0,not found evidence of subsidy
1709,Europe,Ukraine,A3,Beneficial,MPAs,5465943.455034939,Modeled
1710,Europe,Ukraine,B1,Capacity-enhancing,Boat constsruct. & renov.,2779029.5035090763,Modeled
1711,Europe,Ukraine,B2,Capacity-enhancing,Fisheries dev. projects,8219829.080634491,Modeled
1712,Europe,Ukraine,B3,Capacity-enhancing,Fishing port develop.,0.0,not found evidence of subsidy
1713,Europe,Ukraine,B4,Capacity-enhancing,Markt. & storage infrast.,0.0,not found evidence of subsidy
1714,Europe,Ukraine,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1715,Europe,Ukraine,B6,Capacity-enhancing,Fishing access,9346391.36,Modeled
1970,Europe,Ukraine,B7,Capacity-enhancing,Fuel subsidies,40267757.64182088,Modeled
1716,Europe,Ukraine,C1,Ambiguous,Fisher assistance,0.0,not found evidence of subsidy
1717,Europe,Ukraine,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
1718,Europe,Ukraine,C3,Ambiguous,Rural fisher communities,520958.26300446084,Modeled
1731,Europe,United Kingdom,A1,Beneficial,Fisheries mangt.,27850200.85530717,Reported
1732,Europe,United Kingdom,A2,Beneficial,Fishery R&D,2331460.2239946867,Reported
1733,Europe,United Kingdom,A3,Beneficial,MPAs,230078592.89716464,Modeled
1734,Europe,United Kingdom,B1,Capacity-enhancing,Boat constsruct. & renov.,552703.6406315382,Reported
1735,Europe,United Kingdom,B2,Capacity-enhancing,Fisheries dev. projects,7103821.978256044,Reported
1736,Europe,United Kingdom,B3,Capacity-enhancing,Fishing port develop.,2760246.860468817,Reported
1737,Europe,United Kingdom,B4,Capacity-enhancing,Markt. & storage infrast.,7237121.591061097,Reported
1738,Europe,United Kingdom,B5,Capacity-enhancing,Tax exemption,0.0,not found evidence of subsidy
1739,Europe,United Kingdom,B6,Capacity-enhancing,Fishing access,2950640.4900000007,Modeled
1972,Europe,United Kingdom,B7,Capacity-enhancing,Fuel subsidies,64386296.09251699,Modeled
1740,Europe,United Kingdom,C1,Ambiguous,Fisher assistance,2358501.7776472718,Reported
1741,Europe,United Kingdom,C2,Ambiguous,Vessel buyback,16345552.269005507,Modeled
1742,Europe,United Kingdom,C3,Ambiguous,Rural fisher communities,6230662.500788806,Reported
252,North America,Canada,A1,Beneficial,Fisheries mangt.,280471131.374546,Reported
253,North America,Canada,A2,Beneficial,Fishery R&D,2459332.45911239,Reported
254,North America,Canada,A3,Beneficial,MPAs,105237495.02347192,Modeled
255,North America,Canada,B1,Capacity-enhancing,Boat constsruct. & renov.,3549806.30016,Reported
256,North America,Canada,B2,Capacity-enhancing,Fisheries dev. projects,9683507.593026405,Reported
257,North America,Canada,B3,Capacity-enhancing,Fishing port develop.,70927867.72693437,Reported
258,North America,Canada,B4,Capacity-enhancing,Markt. & storage infrast.,1848857.4479999999,Reported
259,North America,Canada,B5,Capacity-enhancing,Tax exemption,39069952.87940119,Reported
260,North America,Canada,B6,Capacity-enhancing,Fishing access,16727.93,Modeled
1849,North America,Canada,B7,Capacity-enhancing,Fuel subsidies,69117291.50823,Modeled
261,North America,Canada,C1,Ambiguous,Fisher assistance,240697699.07482812,Reported
262,North America,Canada,C2,Ambiguous,Vessel buyback,0.0,not found evidence of subsidy
263,North America,Canada,C3,Ambiguous,Rural fisher communities,30057408.619366843,Reported
1059,North America,Mexico,A1,Beneficial,Fisheries mangt.,14263871.057371097,Reported
1060,North America,Mexico,A2,Beneficial,Fishery R&D,8012475.48784027,Reported
1061,North America,Mexico,A3,Beneficial,MPAs,35935636.05878979,Modeled
